time_div,plate_number,class,cell_line,pair_number,well_number,Mean firing rate,ISI CV,Network ISI CV,Spike count Fano factor,# of active electrodes,Weighted mean firing rate,# of bursting electrodes,Mean burst duration,Mean # of spikes per burst,Mean ISI within bursts,Median ISI within bursts,Median / mean ISI within bursts,Mean IBI,Mean burst rate,Normalized burst duration IQR,IBI CV,Burst %,Mean NB rate,Mean NB duration,Mean # of spikes per NB,Mean ISI within NBs,Median ISI within NBs,Median / mean ISI within NBs,ISI CV within NBs,# of NB electrodes,Weighted mean # of spikes per NB,NB %,INBI CV,Normalized NB duration IQR,Normalized cross-correlation AUC,FWHH of normalized cross-correlation,Synchrony index,Kreuz SPIKE-distance synchrony,NB peak firing rate,Time to NB peak,Spike count Fano factor within NBs,ISI CV within bursts,Spike count Fano factor within bursts,Mean INBI,Mean ISI,Spike time tiling coefficient
13,17,Class 1,isoQ2-01,1,2,0.0239583333333333,1.09250576513011,1.02881187477595,1.12634081845905,6,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000259992673553382,17,0.000654693192260902,0.396554640730155,0,0,0,0,0,0,42.6876585924242,0
13,17,Class 1,isoQ2-01,1,3,0.0127083333333333,1.17196857709553,1.02832205021515,1.51925625395013,4,0.0466666666666667,1,3.65056000000001,4,1.21685333333334,0.0427200000000028,0.0351069424964958,0,0.00333333333333333,0,0,4.54545454545455,0,0,0,0,0,0,0,0,0,0,0,0,7.01024003147203e-07,2,0,0.165828457326437,0,0,0,1.68367096689996,0,0,37.2704664,0
13,17,Class 1,isoQ2-01,1,4,0.00354166666666667,0.300568103738968,0.943055223887612,0.918367346938774,1,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51854849143394e-19,1,2.74600564899182e-05,0.187199875984927,0,0,0,0,0,0,98.165985,0
13,17,Class 1,isoQ2-01,1,5,0.00645833333333333,1.36732346653469,1.65905980878148,1.66666666666667,3,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5542153442395e-08,2,0,0.0615636555747533,0,0,0,0,0,0,30.0231602424242,0
13,17,Class 1,isoQ2-01,1,6,0.00770833333333333,1.13566277413437,0.849389753402576,0.978498542274052,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3613387692308,0
13,17,Class 1,isoQ2-01,1,7,0.0152083333333333,0.875428988983464,0.998518839674396,0.842001316655695,4,0.0533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185061354883425,4,0.00211452022142681,0.213712195368058,0,0,0,0,0,0,51.3842867692308,0
13,17,Class 1,isoQ2-01,1,8,0.0125,1.08186534503181,1.18051173956529,1.22995626822157,4,0.0416666666666667,2,7.185,4.25,2.25762333333333,0.675499999999996,0.411729502557459,112.03424,0.005,0,0,9.92063492063492,0,0,0,0,0,0,0,0,0,0,0,0,-0.000135782903751057,4,0.000191116669482976,0.218080569266234,0,0,0,1.36799950226803,0.0769230769230769,0,61.648566984127,0
13,17,Class 1,isoQ2-01,1,9,0.015,1.27180779053174,1.18249561299319,1.15069057926201,2,0.106666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07143798272841e-05,5,8.64086799157016e-07,0.171862964919472,0,0,0,0,0,0,77.4060893333333,0
13,17,Class 1,isoQ2-01,1,10,0.00958333333333333,1.09842665060088,1.02186982899095,0.993197278911565,2,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297559750324598,3,0.00284656457917716,0.172759853247018,0,0,0,0,0,0,15.1468392857143,0
13,17,Class 1,isoQ2-01,1,11,0.00958333333333333,1.56429734682185,1.13206698539265,1.67233560090703,3,0.0277777777777778,1,11.22672,9,1.40334,0.051560000000002,0.0367409180954024,0,0.00333333333333333,0,0,5.76923076923077,0,0,0,0,0,0,0,0,0,0,0,0,-4.49349843173985e-05,2,4.31851025303128e-05,0.502825951901077,0,0,0,1.91695351561674,0,0,71.6369626233766,0
